"Region","2010","2000","1990","1980","1970","1960","1950","1940","1930","1920","1910","1900","1890","1880","1870","1860","1850","1840","1830","1820","1810","1800","1790"
"New Hampshire",0.603,0.593,0.572,0.522,0.564,0.583,0.575,0.576,0.587,0.565,0.518,0.467,0.393,0.3,0.262,0.221,"0.171",0.1,0.05,0.03,0.032,0.029,0.033
"New Jersey",0.947,0.944,0.935,0.89,0.889,0.886,0.866,0.816,0.826,0.799,0.764,0.706,0.626,0.544,0.437,0.327,"0.176",0.106,0.057,0.027,0.024,0,0
"New Mexico",0.774,0.75,0.75,0.721,0.698,0.659,0.502,0.332,0.252,0.18,0.142,0.14,0.062,0.055,0.052,0.053,"0.074",NA,NA,NA,NA,NA,NA
"New York",0.879,0.875,0.874,0.846,0.857,0.854,0.855,0.828,0.836,0.827,0.789,0.729,0.651,0.564,0.5,0.393,"0.292",0.194,0.149,0.117,0.127,0.127,0.115
"North Carolina",0.661,0.602,0.578,0.48,0.455,0.395,0.337,0.273,0.255,0.192,0.144,0.099,0.072,0.039,0.034,0.025,"0.024",0.018,0.014,0.02,0,0,0
"North Dakota",0.599,0.559,0.534,0.488,0.443,0.352,0.266,0.206,0.166,0.136,0.11,0.073,0.056,0.073,0,NA,"",NA,NA,NA,NA,NA,NA
"Ohio",0.779,0.774,0.775,0.733,0.753,0.734,0.702,0.668,0.678,0.638,0.559,0.481,0.411,0.322,0.256,0.171,"0.122",0.055,0.039,0.017,0.011,0,NA
"Oklahoma",0.662,0.653,0.652,0.673,0.68,0.629,0.51,0.376,0.343,0.265,0.192,0.074,0.037,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"Oregon",0.81,0.787,0.749,0.679,0.671,0.622,0.539,0.488,0.513,0.498,0.456,0.322,0.279,0.148,0.091,0.055,"0",NA,NA,NA,NA,NA,NA
"Pennsylvania",0.787,0.771,0.768,0.693,0.715,0.716,0.705,0.665,0.678,0.651,0.604,0.547,0.486,0.416,0.373,0.308,"0.236",0.179,0.153,0.13,0.128,0.113,0.102
"Rhode Island",0.907,0.909,0.899,0.87,0.871,0.864,0.843,0.916,0.924,0.919,0.91,0.883,0.853,0.82,0.746,0.633,"55.6%[4]",0.438,0.312,0.23,0.234,0.208,0.19
"South Carolina",0.663,0.605,0.615,0.541,0.483,0.412,0.367,0.245,0.213,0.175,0.148,0.128,0.101,0.075,0.086,0.069,"0.073",0.057,0.058,0.049,0.06,0.054,0.066
"South Dakota",0.567,0.519,0.503,0.464,0.446,0.393,0.332,0.246,0.189,0.16,0.131,0.102,0.082,0.073,0,NA,"",NA,NA,NA,NA,NA,NA
"Tennessee",0.664,0.636,0.627,0.604,0.591,0.523,0.441,0.352,0.343,0.261,0.202,0.162,0.135,0.075,0.075,0.042,"0.022",0.008,0.008,0,0,0,0
"Texas",0.847,0.825,0.812,0.796,0.797,0.75,0.627,0.454,0.41,0.324,0.241,0.171,0.156,0.092,0.067,0.044,"0.036",NA,NA,NA,NA,NA,NA
"Utah",0.906,0.882,0.868,0.844,0.804,0.749,0.653,0.555,0.524,0.48,0.463,0.381,0.357,0.234,0.185,0.205,"0",NA,NA,NA,NA,NA,NA
"Vermont",0.389,0.382,0.402,0.338,0.322,0.385,0.364,0.343,0.33,0.312,0.278,0.221,0.152,0.1,0.069,0.02,"0.019",0,0,0,0,0,0
"Virginia",0.755,0.73,0.715,0.66,0.632,0.556,0.47,0.353,0.324,0.292,0.231,0.183,0.171,0.125,0.119,0.095,"0.08",0.069,0.048,0.038,0.036,0.026,0.018
"Washington",0.84,0.82,0.799,0.735,0.734,0.681,0.632,0.531,0.566,0.548,0.53,0.408,0.356,0.095,0,0,"0",NA,NA,NA,NA,NA,NA
"West Virginia",0.487,0.461,0.469,0.362,0.391,0.382,0.346,0.281,0.284,0.252,0.187,0.131,0.107,0.087,0.081,0.053,"0.038",0.035,0,0,0,0,0
"Wisconsin",0.702,0.683,0.673,0.642,0.659,0.638,0.579,0.535,0.529,0.473,0.43,0.382,0.332,0.241,0.196,0.144,"0.094",0,0,0,NA,NA,NA
"Wyoming",0.648,0.651,0.671,0.627,0.605,0.568,0.498,0.373,0.311,0.294,0.296,0.288,0.343,0.296,0,NA,"",NA,NA,NA,NA,NA,NA
